antworten: отвечать
bekommen: получать
bieten: предлагать
entscheiden: решаться
entshuldigen: извинять
fahren: ехать
funktionieren: функционировать
gehen: идти
können: мочь
korrigieren: коректировать
kosten: стоить
sagen: говорить
spülen: полоскать
stimmen: голосовать
waschen: мыть
weschseln: менять
die_Antwort(-en): ответ
das_Auto(-s): авто
die_Batterie(-n): батарея
das_Benzin: бензин
das_Bett(-en): кровать
das_Bild(-er): картина
der_Fehler(-): ошибка
der_Fernsehapparat(-e): телевизор
das_Foto(-s): фото
das_Geld: деньги
das_Geschäft(-e): магазин
die_Gruppe(-n): группа
das_Haus(-er): дом
das_Handy(-s): мобильный телефон
der_Haushalt(-e): обиход
der_Herd(-e): плита
die_Idee(-n): идея
die_Kamera(-s): камера
die_Karte(-n): карта
die_Kassette(-n): касета
die_Küche(-n): кухня
der_Kugelschreiber: шариковая ручка
der_Kühlschrank(-e): холодильник
die_Lampe(-n): лампа
die_Minute(-n): минута
die_Person(-en): персона
das_Problem(-e): проблема
das_Programm(-e): программа
das_Radio(-s): радио
das_Regal(-e): полка
der_Schrank(-e): шкаф
die_Steckdose(-n): розетка
der_Steker(-): штекер
der_Stuhl(-e): стул
der_Tisch(-e): стол
der_Topf(-e): кастрюля, горшок
die_Uhr(-en): часы
das_Waschbecken(-): умывальник
die_Waschmaschine(-n): стиральная машина
der_Wasserhahn(-e): кран
der_Wert(-e): цена, значение
das_Wort(-er): слово
die_Zeit: время
ähnlich: похожий
bequem: удобный
ehrlich: правдивый
kaputt: поломанный
leer: пустой
lustig: смешной
modern: современный
originell: оригинальный
praktisch: практичный
auch: и
heute: сегодня
sehr: очень
viele: много
es: это
oder: или
sondern: а  
zu: к
alle_sein: закончено
aus_sein:  выключено
